name_project,project_desc,category_project
joki Clash Royale,Played for 40 minutes. Got screamed at in Chinese and killed by some bulletproof guy. Then I got a permanent ban for cheating luckily within the Steam refund window. 10/10. Game of the year.,valorant
tutor Clash Royale,UPDATE Now game is dead custom matches has become a thing so i create one to try it out game moderators instantly delete it cause i'm not a streamer.What a joke.Not worth $5 now if you get it for free maybe. UPDATE It's terrable again. UPDATE It got better again. So they make the game hacker friendly by using a trash anti cheat tons of other problems i won't mention but one early this they fixed well was when you downed a person and took the majority of their health you got the kill. EVERYBODY was happy with this now they decide to restore the bad system with added bugs where whoever does the last shot whether or not they did much damage they get the kill remind me why i play this game?,cogan
tutor COD,They dun goofed. Finebros no.2,"sepuh, valorant, waifu"
joki Minecraft,It's a great soccer game with an even better developer that actually cares about its community.,"valorant, free fire, waifu"
tutor VALORANT,Great game loved the story,"cecan, cogan"
cari Clash Royale,Bet product ever,"waifu, jodoh"
cari Destiny,11/10 would be rushed by people with rocks for weapons again,"wibu, suhu, cogan"
tutor VALORANT,"Game is broken and buggy as hell. Got stuck between some rocks had to wait until my hunger and then health went all the way down until I could die and get out took about 20 minutes. The game has a ""Sleeper"" system which basically means that whenever you log off your body falls to the ground asleep and you then get robbed and killed when you are away so if you want to progress you can't log off. Early shelters are easily broken into so all your progress can and will be reset if you aren't willing to sink 4 hours of just farming materials when you start up to get a decent house. Unfortunately even higher quality homes are easily broken into due to the easy availability of C4. Expect to lose everything and have to restart often it's fun for a bit then it just gets old. Game encourages bullying of newer players expect to be shot by more experience players for fun regularly. Players are actively malicious and often attempt to trap you in cells so that you can only get out by starving and wasting 20 minutes of your time. Horrible playerbase poorly thought out mechanics. Do not get.",cogan
joki Resident Evil,Only had this game for a few hours so won't review gameplay but I can say that this game runs acceptably on the lowest settings for those who aren't sure their laptop can run it. My laptop's graphics card is actually worse than the minimum requirement but i still can have fun despite some of the lag. Game as a whole 9/10. Game on lowest settings 7/10,cewek
joki VALORANT,"uh used to play it when i got my pc. me and my friends would grind this game all day and not try because it was fun like when we had a strat called ""the car strat"" where we would only get cars and run people over which was really fun. Its just gotten stale and to be honest the game has kinda gone downhill. maybe ill give it another try but just not right now. (im giving it a recomend because theres no in the middle that i can see)",free fire
cari Clash Royale,Have been waiting for the servers optimization since the start and still nothing.,"cewek, mobile legend"
joki COD,yes,"mobile legend, waifu"
cari Clash Royale,10/10 ANDREWTHEBOSS,waifu
joki Genshin Impact,THANKS DEV.. GARBAGE OPTIMIZE THE GAME...FAIL ....,valorant
tutor Destiny,Bought the game for full price + DLCPros Fun to play with friends!Stars are adjusted to number of players playingGraphics and soundtrack are greatAddition of the new 4th star is a wonderful challengeCons Boring to play by selfLack of workshop? Was hoping to get custom maps to extend the gameplaySome lag for friends who connectOverall not a bad purchase definitely caused a lot of frustration and yelling but it is very addictive!,"cewek, free fire"
cari FF,get rid of all the ing hackers,"waifu, gg"
tutor PUBG,10/10,"cogan, gg"
joki COD,THIS IS ING FUN MAN. YOU NEED TO BUY THIS. YOU'VE PROBABLY SEEN FROM OTHER REVIEWS ABOUT ALL THE BUGS KINKS AND ANNOYANCES THUS FAR (REFER TO OTHER REVIEWS). THE BIGGEST THING FOR ME IS THE PLAYING WITH FRIENDS OR LACK OF IT.. FOR NOW (HOPEFULLY??) ALSO SORT OF ANNOYING THAT THERE ISN'T ANY SORT OF CHAT SYSTEM OR EVEN A VOICE SYSTEM AT ALL. THERE'S BOTH PROS AND CONS TO THIS. POINTS SYSTEM IS HORRID FOR BOTH SIDES AND CAN EASILY BE ABUSED (SEE OTHER REVIEWS FOR ME DETAILS). BUT OVERALL THIS IS ING FUN LOL. AND IT HAS GIVEN ME A FEW JUMP SCARES SINCE I PURCHASED IT AND DEFINITELY GETS MY HEARTBEAT UP A BIT WHEN THE KILLER IS NEAR AND THE HEARTBEAT SOUND STARTS PLAYING.YOU SHOULD STILL BUY THIS GAME AT 15 DOLLARS WHICH IS A PRETTY GOOD DEAL I THINK. I'M SURE IT WOULD BE A LOT MORE POPULAR IF IT WENT ON SALE FOR 10 THOUGH. SIDENOTE IT DOESN'T LOOK MUCH BETTER THAN A 5 DOLLAR GAME TBH AND AT TIMES SEEMS TO PLAY LIKE ONE AS WELL BUT I'M HOPING THAT WILL BE ADDRESSED IN COMING UPDATES. BUT IT CERTAINTLY PLAYS BETTER THAN I EXPECTED IT AND I AM GLAD I GOT IT FOR $15.99.,"sepuh, valorant, susah"
joki Genshin Impact,Vroom Vroom + Balls Best Gaem 10/10,"pro player, cewek"
cari Clash Royale,GOOD GAME,"jodoh, mobile legend, gg"
tutor Clash Royale,good game nice looking rock,cogan
cari Bang Bang,Well made game that is very engaging. The sky is the limit for DLC and competitive. Great community. A+ All around!,free fire
joki Destiny,PUBG NO1 !!,jodoh
tutor Destiny,Apart from the current lack of content that I'll forgive due to early access tho Early Access is starting to look like almost as bad an idea as Kickstarter for games lately only here you get to see what you've done immediately this game has one problem I cannot forgive ignore or even remotely enjoy the game due to.People are bloody awful.I died in less than a minute the first dozen or so servers I tried then for the first three hours after that some dude would always kill me the minute I got food a tool and started on my home. Now I might be able to deal with the pain that is other people if they were just an added challenge but they aren't. People are voices. PEople are persistant. People are evil.And this game has produced some weird kind of evil at that. Day Z is downright friendly in comparison and CoD voice chat a cheerful conversation in the quad. That said that could (probably is) the very reason many people like this game so perhaps I might've recommended it instead but that would leave an even worse taste in my mouth than playing it.,"valorant, free fire, sepuh"
joki Destiny,It's ok I guess?,cogan
joki Cyberpunk,One of the best GTA's so far. It's really holding a good replay value with the added multiplayer content. I would definitely recommend!,"valorant, susah"
tutor Resident Evil,This game is very addictive. You start out and suck and constantly try to get better then something clicks and you start playing great. I love this game. Rocket Cars forever,"wibu, cogan"
joki Roblox,Great game totally worth buying ),"valorant, free fire"
joki Genshin Impact,Product received for free. i have been playing for about 3 months i already have 380 hours on it.defenetly the right game when you wanna play a game with friends,"susah, valorant"
tutor Genshin Impact,Getting rid of OpenIV just put you guys in a really deep hole. Have fun with a loss of playerbase take two. F*** you.UPDATE Thanks for bringing back OpenIV.,"jodoh, cogan"
